Timestamp(UTC)	LONGITUDE(deg)	LATITUDE(deg)	STATION(-)	long(deg)	lat(deg)
2006-01-06T00:00:00-0000	-121.02402	21.62097	1	21.621	-121.024
2006-01-06T00:00:00-0000	-121.05325	21.72126	2	21.7213	-121.053
2006-01-06T00:00:00-0000	-121.08256	21.82159	3	21.8216	-121.083
2006-01-06T00:00:00-0000	-121.11192	21.92196	4	21.922	-121.112
2006-01-06T00:00:00-0000	-121.14137	22.02238	5	22.0224	-121.141
2006-01-06T00:00:00-0000	-121.17088	22.12283	6	22.1228	-121.171
2006-01-06T00:00:00-0000	-121.20046	22.22332	7	22.2233	-121.2
2006-01-06T00:00:00-0000	-121.23011	22.32385	8	22.3238	-121.23
2006-01-06T00:00:00-0000	-121.25983	22.42442	9	22.4244	-121.26
2006-01-06T00:00:00-0000	-121.28963	22.52503	10	22.525	-121.29
2006-01-06T00:00:00-0000	-121.3195	22.62567	11	22.6257	-121.32
2006-01-06T00:00:00-0000	-121.34943	22.72636	12	22.7264	-121.349
2006-01-06T00:00:00-0000	-121.37945	22.82708	13	22.8271	-121.379
2006-01-06T00:00:00-0000	-121.40953	22.92784	14	22.9278	-121.41
2006-01-06T00:00:00-0000	-121.43968	23.02864	15	23.0286	-121.44
2006-01-06T00:00:00-0000	-121.46991	23.12947	16	23.1295	-121.47
2006-01-06T00:00:00-0000	-121.50021	23.23034	17	23.2303	-121.5
2006-01-06T00:00:00-0000	-121.53059	23.33124	18	23.3312	-121.531
2006-01-06T00:00:00-0000	-121.56104	23.43219	19	23.4322	-121.561
2006-01-06T00:00:00-0000	-121.59156	23.53316	20	23.5332	-121.592
2006-01-06T00:00:00-0000	-121.62215	23.63418	21	23.6342	-121.622
2006-01-06T00:00:00-0000	-121.65282	23.73523	22	23.7352	-121.653
2006-01-06T00:00:00-0000	-121.68357	23.83631	23	23.8363	-121.684
2006-01-06T00:00:00-0000	-121.71439	23.93743	24	23.9374	-121.714
2006-01-06T00:00:00-0000	-121.74529	24.03858	25	24.0386	-121.745
2006-01-06T00:00:00-0000	-121.77625	24.13977	26	24.1398	-121.776
2006-01-06T00:00:00-0000	-121.8073	24.24099	27	24.241	-121.807
2006-01-06T00:00:00-0000	-121.83842	24.34224	28	24.3422	-121.838
2006-01-06T00:00:00-0000	-121.86962	24.44353	29	24.4435	-121.87
2006-01-06T00:00:00-0000	-121.90089	24.54485	30	24.5448	-121.901
2006-01-06T00:00:00-0000	-76.10252	51.66464	100133	51.6646	-76.1025
2006-01-06T00:00:00-0000	-76.06359	51.76758	100134	51.7676	-76.0636
2006-01-06T00:00:00-0000	-76.02451	51.87045	100135	51.8705	-76.0245
2006-01-06T00:00:00-0000	-75.9853	51.97327	100136	51.9733	-75.9853
2006-01-06T00:00:00-0000	-75.94594	52.07603	100137	52.076	-75.9459
2006-01-06T00:00:00-0000	-75.90643	52.17874	100138	52.1787	-75.9064
2006-01-06T00:00:00-0000	-75.86678	52.28138	100139	52.2814	-75.8668
2006-01-06T00:00:00-0000	-75.82699	52.38397	100140	52.384	-75.827
